NODE_KEY,BP_ROLE,EMAIL_ADDRESS,PHONE_NUMBER,FAX_NUMBER,ADDRESS_GUID,BP_ID,COMPANY_NAME
00505697BB3F1EEE87F8A09F11EA77C7,1,customer-do.not.reply@sap.com,622734567,622734004,00505697BB3F1EEE87F8A09F11C7F7C7,100000000,SAP
00505697BB3F1EEE87F8A09F11EA97C7,1,customer-dagmar.schulze@beckerberlin.de,3088530,3088004,00505697BB3F1EEE87F8A09F11C857C7,100000001,Becker Berlin
00505697BB3F1EEE87F8A09F11EAB7C7,1,customer-maria.brown@delbont.com,3023352668,3023352004,00505697BB3F1EEE87F8A09F11C8B7C7,100000002,DelBont Industries
00505697BB3F1EEE87F8A09F11EAD7C7,1,customer-saskia.sommer@talpa-hannover.de,511403266,511403004,00505697BB3F1EEE87F8A09F11C917C7,100000003,Talpa
00505697BB3F1EEE87F8A09F11EAF7C7,1,customer-bob.buyer@panorama-studios.biz,2244668800,2244668004,00505697BB3F1EEE87F8A09F11C977C7,100000004,Panorama Studios
00505697BB3F1EEE87F8A09F11EB17C7,1,customer-bart.koenig@tecum-ag.de,2511415,2511004,00505697BB3F1EEE87F8A09F11C9D7C7,100000005,TECUM
00505697BB3F1EEE87F8A09F11EB37C7,1,customer-yoko.nakamura@asia-ht.com,9078563412,9078563004,00505697BB3F1EEE87F8A09F11CA37C7,100000006,Asia High tech
00505697BB3F1EEE87F8A09F11EB57C7,1,customer-sophie.ribery@laurent-paris.com,149744423,149744004,00505697BB3F1EEE87F8A09F11CA97C7,100000007,Laurent
00505697BB3F1EEE87F8A09F11EB77C7,1,customer-victor.sanchez@avantel.com,7257716,7257004,00505697BB3F1EEE87F8A09F11CAF7C7,100000008,AVANTEL
00505697BB3F1EEE87F8A09F11EB97C7,1,customer-jorge.velez@telecomunicacionesstar.com,1133557799,1133557004,00505697BB3F1EEE87F8A09F11CB57C7,100000009,Telecomunicaciones Star
00505697BB3F1EEE87F8A09F11EBB7C7,1,customer-franklin.jones@pear-computing.com,6789012345,6789012004,00505697BB3F1EEE87F8A09F11CBB7C7,100000010,Pear Computing Services
00505697BB3F1EEE87F8A09F11EBD7C7,1,customer-joseph_gschwandtner@alp-systems.at,6623612804,6623612004,00505697BB3F1EEE87F8A09F11CC17C7,100000011,Alpine Systems
00505697BB3F1EEE87F8A09F11EBF7C7,1,customer-george_d_grant@newlinedesign.co.uk,2589436180,2589436004,00505697BB3F1EEE87F8A09F11CC77C7,100000012,New Line Design
00505697BB3F1EEE87F8A09F11EC17C7,1,customer-sarah.schwind@hepa-tec.de,4507867136,4507867004,00505697BB3F1EEE87F8A09F11CCD7C7,100000013,HEPA Tec
00505697BB3F1EEE87F8A09F11EC37C7,1,customer-theodor.monathy@anavideon.com,5850428367,5850428004,00505697BB3F1EEE87F8A09F11CD37C7,100000014,Anav Ideon
00505697BB3F1EEE87F8A09F11EC57C7,1,customer-robert_brown@rb-entertainment.ca,7609448173,7609448004,00505697BB3F1EEE87F8A09F11CD97C7,100000015,Robert Brown Entertainment
00505697BB3F1EEE87F8A09F11EC77C7,1,customer-jorgemontalban@motc.mx,6879342945,6879342004,00505697BB3F1EEE87F8A09F11CDF7C7,100000016,Mexican Oil Trading Company
00505697BB3F1EEE87F8A09F11EC97C7,1,customer-johanna.esther@meliva.de,2208791738,2208791004,00505697BB3F1EEE87F8A09F11CE57C7,100000017,Meliva
00505697BB3F1EEE87F8A09F11ECB7C7,1,customer-miguel.luengo@compostela.ar,4440238917,4440238004,00505697BB3F1EEE87F8A09F11CEB7C7,100000018,Compostela
00505697BB3F1EEE87F8A09F11ECD7C7,1,customer-isabel.nemours@pateu.fr,6328490087,6328490004,00505697BB3F1EEE87F8A09F11CF17C7,100000019,Pateu
00505697BB3F1EEE87F8A09F11ECF7C7,1,customer-igor.tarassow@retc.ru,4050378468,4050378004,00505697BB3F1EEE87F8A09F11CF77C7,100000020,Russian Electronic Trading Company
00505697BB3F1EEE87F8A09F11ED17C7,1,customer-alexis.harper@flor-hc.com,6065470312,6065470004,00505697BB3F1EEE87F8A09F11CFD7C7,100000021,Florida Holiday Company
00505697BB3F1EEE87F8A09F11ED37C7,1,customer-c.alfaro@quimica-madrilenos.es,7980023486,7980023004,00505697BB3F1EEE87F8A09F11D037C7,100000022,Quimica Madrilenos
00505697BB3F1EEE87F8A09F11ED57C7,1,customer-sven.j@getraenke-janssen.de,3629731486,3629731004,00505697BB3F1EEE87F8A09F11D097C7,100000023,Getr�nkegro�handel Janssen
00505697BB3F1EEE87F8A09F11ED77C7,1,customer-yoshiko.kakuji@jateco.jp,3206580974,3206580004,00505697BB3F1EEE87F8A09F11D0F7C7,100000024,JaTeCo
00505697BB3F1EEE87F8A09F11ED97C7,1,customer-alessio.galasso@tcdr.it,4580963184,4580963004,00505697BB3F1EEE87F8A09F11D157C7,100000025,Tessile Casa Di Roma
00505697BB3F1EEE87F8A09F11EDB7C7,1,customer-romain.le_mason@verdo.fr,1012697341,1012697004,00505697BB3F1EEE87F8A09F11D1B7C7,100000026,Vente Et R�paration de Ordinateur
00505697BB3F1EEE87F8A09F11EDD7C7,1,customer-martha.calcagno@dpg.ar,7345697824,7345697004,00505697BB3F1EEE87F8A09F11D217C7,100000027,Developement Para O Governo
00505697BB3F1EEE87F8A09F11EDF7C7,1,customer-beatriz.da_silva@brazil-tec.br,469614115,469614004,00505697BB3F1EEE87F8A09F11D277C7,100000028,Brazil Technologies
00505697BB3F1EEE87F8A09F11EE17C7,1,customer-anthony.lebouef@crtu.ca,6839542781,6839542004,00505697BB3F1EEE87F8A09F11D2D7C7,100000029,C.R.T.U.
00505697BB3F1EEE87F8A09F11EE37C7,1,customer-lisa.felske@jologa.ch,6714954542,6714954004,00505697BB3F1EEE87F8A09F11D337C7,100000030,Jologa
00505697BB3F1EEE87F8A09F11EE57C7,1,customer-jonathan.d.mason@baleda.com,2483693027,2483693004,00505697BB3F1EEE87F8A09F11D397C7,100000031,Baleda
00505697BB3F1EEE87F8A09F11EE77C7,1,customer-amelie.troyat@angere.fr,2094573421,2094573004,00505697BB3F1EEE87F8A09F11D3F7C7,100000032,Anger�
00505697BB3F1EEE87F8A09F11EE97C7,1,customer-pete_waltham@pc-gym-tec.com,4136278910,4136278004,00505697BB3F1EEE87F8A09F11D457C7,100000033,PC Gym Tec
00505697BB3F1EEE87F8A09F11EEB7C7,1,customer-ryu.toshiro@jip.jp,3540671320,3540671004,00505697BB3F1EEE87F8A09F11D4B7C7,100000034,Japan Insurance Partner
00505697BB3F1EEE87F8A09F11EED7C7,1,customer-jose-lopez@en-ar.ar,7315064077,7315064004,00505697BB3F1EEE87F8A09F11D517C7,100000035,Entertainment Argentinia
00505697BB3F1EEE87F8A09F11EEF7C7,1,customer-dahoma.lawla@agadc.co.za,4381762683,4381762004,00505697BB3F1EEE87F8A09F11D577C7,100000036,African Gold And Diamond Corporation
00505697BB3F1EEE87F8A09F11EF17C7,1,customer-jefferson.parker@pico-bit.com,9703586412,9703586004,00505697BB3F1EEE87F8A09F11D5D7C7,100000037,PicoBit
00505697BB3F1EEE87F8A09F11EF37C7,1,customer-tamara.flaig@brl-ag.de,6843585642,6843585004,00505697BB3F1EEE87F8A09F11D637C7,100000038,Bionic Research Lab
00505697BB3F1EEE87F8A09F11EF57C7,1,customer-sunita-kapoor@it-trade.in,4203876954,4203876004,00505697BB3F1EEE87F8A09F11D697C7,100000039,Indian IT Trading Company
00505697BB3F1EEE87F8A09F11EF77C7,1,customer-pawel-lewandoski@catf.pl,8367920106,8367920004,00505697BB3F1EEE87F8A09F11D6F7C7,100000040,Chemia A Technicznie Fabryka
00505697BB3F1EEE87F8A09F11EF97C7,1,customer-laura.campillo@saitc.ar,1438907230,1438907004,00505697BB3F1EEE87F8A09F11D757C7,100000041,South American IT Company
00505697BB3F1EEE87F8A09F11EFB7C7,1,customer-jian.si@siwusha.cn,7412697340,7412697004,00505697BB3F1EEE87F8A09F11D7B7C7,100000042,Siwusha
00505697BB3F1EEE87F8A09F11EFD7C7,1,customer-frederik.christensen@dftc.dk,3102050749,3102050004,00505697BB3F1EEE87F8A09F11D817C7,100000043,Danish Fish Trading Company
